county,ai_name,AIused,year
BRONX,TRICHLORFON,19.7665,2009
BROOME,ACEPHATE,7.12668,2009
BROOME,BENSULIDE,3.404,2009
BROOME,CHLORPYRIFOS,1.2869,2009
BROOME,DICHLORVOS,0.45112,2009
BROOME,DICROTOPHOS,0.0082,2009
BROOME,TRICHLORFON,49.58775,2009
CATTARAUGUS,CHLORPYRIFOS,0.6603,2009
CATTARAUGUS,DIMETHOATE,194.11875,2009
CATTARAUGUS,GLYPHOSATE,76.44655,2009
CAYUGA,CHLORPYRIFOS,10.0834,2009
CAYUGA,DICROTOPHOS,0.041,2009
CAYUGA,DIMETHOATE,0.183434,2009
CAYUGA,GLYPHOSATE,498.09465,2009
CAYUGA,OXYDEMETON-METHYL,3.125,2009
CAYUGA,TRICHLORFON,15.004,2009
CHAUTAUQUA,ACEPHATE,0.18,2009
CHAUTAUQUA,CHLORPYRIFOS,4.919725,2009
CHAUTAUQUA,DIAZINON,0.0023,2009
CHAUTAUQUA,DICHLORVOS,0.26226,2009
CHAUTAUQUA,DICROTOPHOS,0.0082,2009
CHAUTAUQUA,DIMETHOATE,665.55,2009
CHAUTAUQUA,GLYPHOSATE,84.6363,2009
CHAUTAUQUA,ISOFENPHOS,0.001,2009
CHAUTAUQUA,TRICHLORFON,156.1098,2009
CHEMUNG,ACEPHATE,4.12134,2009
CHEMUNG,BENSULIDE,0.35,2009
CHEMUNG,DICROTOPHOS,0.041,2009
CHEMUNG,DIMETHOATE,0.087,2009
CHEMUNG,PROPETAMPHOS,0.00189,2009
CHEMUNG,TRICHLORFON,82.80162,2009
CHENANGO,ACEPHATE,72.9225,2009
CHENANGO,CHLORPYRIFOS,2.13966,2009
CHENANGO,GLYPHOSATE,34.21655,2009
CHENANGO,TRICHLORFON,104.912,2009
CLINTON,ACEPHATE,4.2816,2009
CLINTON,CHLORPYRIFOS,6.6,2009
CLINTON,DICHLORVOS,0.09672,2009
CLINTON,GLYPHOSATE,1.23019,2009
CLINTON,TRICHLORFON,5.642,2009
COLUMBIA,ACEPHATE,1.0225,2009
COLUMBIA,BENSULIDE,31.45,2009
COLUMBIA,CHLORPYRIFOS,11.598662,2009
COLUMBIA,DICHLORVOS,11.1302,2009
COLUMBIA,PHOSMET,2.8,2009
COLUMBIA,TRICHLORFON,34.224,2009
CORTLAND,BENSULIDE,0.00036,2009
CORTLAND,CHLORPYRIFOS,0.66156,2009
CORTLAND,DICHLORVOS,0.016,2009
CORTLAND,DICROTOPHOS,0.0082,2009
CORTLAND,GLYPHOSATE,118.5515,2009
DELAWARE,ACEPHATE,0.1575,2009
DELAWARE,CHLORPYRIFOS,3.99943,2009
DELAWARE,GLYPHOSATE,96.96712,2009
DELAWARE,TRICHLORFON,35.58968,2009
DUTCHESS,ACEPHATE,19.23026,2009
DUTCHESS,BENSULIDE,3.7858,2009
DUTCHESS,CHLORPYRIFOS,7.559182,2009
DUTCHESS,DICHLORVOS,0.01488,2009
DUTCHESS,DICROTOPHOS,0.041,2009
