,X,cnty_name,ai_name,AIused,year
257,257,ONTARIO,DICROTOPHOS,0.0328,2008
258,258,ONTARIO,DIMETHOATE,0.6525,2008
259,259,ONTARIO,DISULFOTON,0.418,2008
260,260,ONTARIO,GLYPHOSATE,59.23065,2008
261,261,ONTARIO,PHOSMET,434.896,2008
262,262,ONTARIO,PIRIMIPHOS-METHYL,0.3477,2008
263,263,ONTARIO,TRICHLORFON,148.67848,2008
264,264,ORANGE,ACEPHATE,17.308,2008
265,265,ORANGE,BENSULIDE,12.0428,2008
266,266,ORANGE,CHLORPYRIFOS,13.80015,2008
267,267,ORANGE,DICHLORVOS,1.92216,2008
268,268,ORANGE,DICROTOPHOS,0.0082,2008
269,269,ORANGE,FENAMIPHOS,0.24,2008
270,270,ORANGE,PHORATE,0.13192,2008
271,271,ORANGE,PROPETAMPHOS,0.00189,2008
272,272,ORANGE,TRICHLORFON,1042.74963,2008
273,273,ORLEANS,CHLORPYRIFOS,13.919,2008
274,274,ORLEANS,DICROTOPHOS,0.0164,2008
275,275,ORLEANS,DIMETHOATE,0.12615,2008
276,276,ORLEANS,GLYPHOSATE,25.9079,2008
277,277,ORLEANS,TRICHLORFON,0.42284,2008
278,278,OSWEGO,ACEPHATE,1.83,2008
279,279,OSWEGO,CHLORPYRIFOS,0.00449,2008
280,280,OSWEGO,DICHLORVOS,1.208,2008
281,281,OSWEGO,GLYPHOSATE,36.50435,2008
282,282,OSWEGO,TRICHLORFON,1.10174,2008
283,283,OTSEGO,ACEPHATE,0.0305,2008
284,284,OTSEGO,CHLORPYRIFOS,1.6272,2008
285,285,OTSEGO,GLYPHOSATE,51.77823,2008
286,286,OTSEGO,TRICHLORFON,68.63276,2008
287,287,PUTNAM,ACEPHATE,0.66,2008
288,288,PUTNAM,DICHLORVOS,0.3263556,2008
289,289,PUTNAM,DICROTOPHOS,0.0492,2008
290,290,PUTNAM,GLYPHOSATE,0.7075,2008
291,291,PUTNAM,PROPETAMPHOS,0.00189,2008
292,292,PUTNAM,TRICHLORFON,118.27936,2008
293,293,QUEENS,ACEPHATE,172.4649,2008
294,294,QUEENS,BENSULIDE,5.52,2008
295,295,QUEENS,CHLORPYRIFOS,17.896843,2008
296,296,QUEENS,DIAZINON,0.15,2008
297,297,QUEENS,DICHLORVOS,4.98067,2008
298,298,QUEENS,DICROTOPHOS,0.0082,2008
299,299,QUEENS,DISULFOTON,0.08,2008
300,300,QUEENS,FENITROTHION,0.00212,2008
301,301,QUEENS,GLYPHOSATE,0.566,2008
302,302,QUEENS,OXYDEMETON-METHYL,0.06,2008
303,303,QUEENS,PROPETAMPHOS,15.72669,2008
304,304,QUEENS,RONNEL,0.0176,2008
305,305,QUEENS,TRICHLORFON,75.53473,2008
306,306,RENSSELAER,ACEPHATE,0.9,2008
307,307,RENSSELAER,BENSULIDE,50.66,2008
308,308,RENSSELAER,CHLORPYRIFOS,5.12186,2008
309,309,RENSSELAER,PROPETAMPHOS,0.01134,2008
310,310,RENSSELAER,TRICHLORFON,105.45456,2008
311,311,RICHMOND,ACEPHATE,0.2406,2008
